Norma Agent,Wins,Loss,Draw,Total Games Played,Predicted Invalid Moves,Turns
-1,18,1,1,20,"[19, 7, 11, 11, 8, 27, 22, 32, 25, 15, 29, 7, 5, 16, 16, 0, 1, 1, 0, 37, 23, 27, 23, 11, 14, 31, 31, 40, 5, 21, 27, 9, 39, 37, 56, 22, 34, 5, 9, 7, 4, 2, 10, 6, 0, 0, 0, 3, 0, 0, 0, 5, 1, 7, 29, 8, 24, 48, 34, 42, 36, 39, 83, 0, 1, 0, 1, 0, 3, 0, 4, 30, 37, 71, 51, 11, 10, 5, 12, 8, 8, 4, 7, 15, 12, 16, 21, 5, 12, 21, 18, 19, 46, 40, 112, 89, 59, 27, 20, 36, 42, 39, 36, 18, 24, 82, 33, 17, 4, 4, 15, 19, 11, 4, 8, 0, 1, 23, 36, 18, 12, 18, 6, 14, 19, 19, 4, 1, 1, 1, 52, 20, 21, 40, 48, 45, 33, 33, 13, 36, 66, 20, 22, 13, 2, 0, 4, 2, 0, 0, 0, 18, 5, 10, 0, 19, 2, 6, 4, 5, 3, 7, 7, 22, 8, 12, 53, 22, 11, 11, 4, 11, 7, 22, 21, 29, 37, 11, 13, 52, 35, 18, 34, 22, 46, 91, 6, 37, 44, 29, 29, 39, 55, 23, 30, 23, 30, 20, 21, 11, 5, 10, 7, 21, 11, 6, 18, 15, 2, 9, 2, 6, 9, 36, 12, 1, 3, 0, 0, 0, 0, 3, 5, 4, 6, 4, 5, 6, 14, 3, 4, 10, 10, 2, 29, 19, 7, 36, 8, 19, 9, 12, 19, 4, 2, 23, 16, 3, 6, 1, 0, 8, 2, 12, 31, 6, 12, 2, 1, 11, 3, 8, 7, 8, 23, 0, 0, 5, 2, 7, 1, 1, 0, 2, 32, 7, 21, 5, 36, 45, 38, 26, 45, 20, 9, 7, 5, 14, 21, 4, 0, 8, 1, 0, 3, 6, 2, 31, 19, 7, 8, 4, 14, 25, 20, 29, 45, 13, 17, 14, 7, 2, 6, 51, 62, 75, 1, 0, 0, 7, 0, 0, 1, 22, 84, 10, 2, 5, 2, 5, 3, 31, 0, 3, 2, 1, 2, 2, 18, 17, 3, 7, 3, 27, 13, 17, 24, 0, 0, 1, 4, 2, 1, 3, 1, 3, 42, 13, 2, 2, 1, 6, 2, 12, 1, 4, 5, 1, 0, 0, 1, 2, 5, 3, 5, 14, 0, 22, 11, 26, 9, 17, 16, 17, 2, 1, 7, 3, 9, 11, 9, 15, 17, 15, 9, 2, 5, 9, 6, 6, 12, 23, 21, 30, 27, 24, 15, 16, 17, 7, 1, 1, 9, 8, 6, 13, 8, 3, 0, 2, 2, 3, 9, 13, 62, 40, 44, 52, 31, 20, 25, 3, 1, 5, 3, 1, 1, 3, 34, 20, 35, 36, 38, 28, 1, 1, 1, 0, 0, 1, 8, 4, 40, 24, 7, 32, 34, 32, 22, 31, 42, 40, 12, 7, 6, 7, 0, 13, 6, 0, 4, 5, 12, 2, 6, 13, 28, 30, 25, 17, 42, 30, 8, 25, 32, 28, 13, 17, 40, 98, 35, 11, 7, 5, 10, 16, 3, 2, 2, 4, 1, 4, 0, 0, 1, 2, 11, 7, 16, 17, 16, 40, 2, 16, 11, 12, 9, 10, 2, 9, 4, 6, 3, 4, 3, 24, 27, 4, 0, 3, 0, 3, 0, 1, 10, 14, 21, 16, 21, 11, 11, 12, 16, 32, 19, 9, 10, 45, 18, 3, 0, 0, 6, 9, 5, 29, 25, 14, 10, 15, 37, 0, 0, 0, 0, 0, 2, 36, 68, 43, 10, 53, 53, 36, 28, 63, 13, 2, 1, 3, 7, 1, 1, 17, 9, 3, 37, 5, 4, 3, 6, 1, 3, 3, 88, 1, 0, 20, 1, 1, 1, 8, 7, 5, 7, 36, 70, 19, 20]","[78, 72, 66, 70, 50, 72, 78, 32, 60, 99, 39, 52, 50, 52, 62, 52, 72, 42, 56, 66]"
-1,16,2,2,20,"[11, 2, 16, 2, 1, 4, 7, 23, 3, 3, 4, 5, 3, 1, 11, 53, 60, 28, 11, 8, 2, 0, 0, 12, 17, 5, 15, 6, 15, 7, 10, 2, 2, 2, 2, 2, 6, 59, 19, 14, 14, 15, 17, 6, 4, 0, 8, 9, 7, 16, 10, 27, 16, 9, 3, 14, 12, 20, 5, 6, 23, 24, 25, 28, 33, 20, 11, 7, 0, 10, 1, 24, 4, 13, 11, 6, 1, 4, 9, 18, 4, 12, 65, 55, 43, 66, 61, 29, 6, 13, 1, 6, 6, 4, 6, 7, 5, 5, 49, 29, 70, 8, 46, 29, 27, 20, 9, 8, 30, 24, 20, 19, 26, 28, 21, 0, 2, 1, 7, 11, 4, 19, 21, 9, 2, 10, 10, 0, 5, 4, 1, 31, 8, 7, 1, 3, 4, 10, 3, 34, 49, 6, 8, 18, 44, 14, 9, 16, 4, 16, 6, 29, 16, 8, 25, 24, 11, 3, 6, 3, 12, 0, 16, 9, 15, 15, 25, 10, 13, 8, 21, 12, 16, 31, 8, 30, 11, 12, 8, 17, 16, 3, 2, 8, 13, 3, 0, 1, 0, 3, 7, 5, 3, 0, 0, 0, 0, 0, 0, 1, 1, 2, 37, 19, 24, 20, 22, 25, 40, 26, 21, 40, 39, 22, 68, 31, 58, 24, 58, 83, 24, 26, 23, 26, 72, 54, 19, 3, 9, 10, 4, 8, 13, 16, 19, 19, 20, 19, 22, 30, 53, 36, 4, 0, 42, 20, 15, 2, 4, 2, 3, 2, 30, 4, 17, 3, 15, 5, 1, 18, 10, 7, 5, 3, 6, 1, 5, 2, 7, 6, 28, 7, 10, 20, 7, 16, 14, 13, 17, 19, 25, 23, 17, 15, 40, 59, 40, 17, 30, 8, 14, 8, 64, 6, 0, 4, 9, 10, 10, 14, 3, 3, 0, 24, 14, 14, 9, 0, 3, 2, 19, 13, 30, 22, 27, 25, 47, 20, 5, 12, 5, 67, 37, 73, 67, 11, 10, 3, 2, 2, 4, 10, 18, 24, 20, 24, 28, 25, 12, 12, 29, 39, 51, 62, 16, 7, 8, 18, 1, 7, 7, 11, 2, 27, 3, 11, 6, 1, 1, 21, 47, 64, 88, 73, 56, 11, 3, 8, 7, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 5, 11, 11, 8, 1, 1, 1, 4, 17, 17, 20, 3, 3, 6, 11, 9, 15, 18, 11, 12, 14, 14, 10, 11, 12, 33, 2, 9, 6, 20, 15, 86, 12, 5, 11, 2, 0, 21, 17, 1, 27, 6, 11, 1, 14, 7, 4, 5, 9, 13, 24, 0, 9, 11, 26, 9, 7, 13, 10, 55, 0, 1, 2, 11, 3, 4, 8, 1, 3, 5, 12, 5, 3, 7, 8, 2, 1, 7, 13, 12, 12, 12, 34, 29, 34, 10, 9, 5, 12, 12, 14, 4, 68, 16, 18, 9, 8, 10, 10, 10, 1, 11, 9, 13, 15, 1, 2, 4, 3, 4, 11, 8, 8, 2, 1, 34, 13, 23, 24, 10, 7, 12, 13, 72, 11, 6, 11, 12, 6, 7, 1, 3, 2, 6, 4, 5, 4, 0, 17, 10, 1, 9, 6, 15, 20, 93, 55, 93, 39, 48, 13, 56, 26, 32, 29, 30, 15, 35, 34, 18, 19, 10, 17, 55, 3, 12, 0, 7, 0, 2, 20, 25, 42, 20, 14, 6, 16, 31, 12, 14, 3, 13, 9, 9, 23, 21, 27, 31, 21, 12, 21, 17, 30, 29, 37, 22, 22, 25, 27, 25, 34, 37, 59, 8, 6, 12, 15, 12, 17, 19, 12, 26, 16, 26, 24, 15, 5, 0, 2, 1, 14, 1, 2, 2, 1, 0, 0, 0, 0, 0, 1, 0, 5, 1, 6, 2, 12]","[36, 48, 48, 99, 82, 60, 80, 66, 68, 64, 38, 42, 41, 64, 58, 76, 46, 86, 99, 43]"
-1,19,0,1,20,"[17, 8, 3, 6, 18, 11, 28, 9, 7, 4, 9, 8, 5, 2, 17, 6, 8, 10, 47, 32, 86, 47, 75, 48, 50, 40, 16, 4, 9, 59, 11, 27, 28, 14, 41, 45, 48, 23, 9, 19, 7, 14, 12, 1, 8, 5, 6, 2, 5, 2, 2, 6, 16, 14, 35, 27, 30, 34, 27, 27, 22, 80, 29, 33, 45, 23, 49, 52, 61, 55, 40, 28, 30, 7, 0, 2, 19, 2, 4, 3, 3, 37, 4, 9, 10, 11, 14, 17, 24, 38, 33, 24, 9, 19, 8, 17, 5, 0, 1, 2, 0, 0, 1, 1, 3, 0, 2, 5, 20, 7, 16, 12, 19, 29, 71, 21, 14, 21, 34, 36, 19, 35, 11, 34, 16, 38, 18, 1, 21, 24, 12, 9, 18, 10, 12, 4, 2, 3, 3, 4, 3, 12, 1, 1, 85, 27, 22, 14, 21, 12, 33, 10, 13, 17, 31, 25, 83, 0, 3, 0, 2, 1, 2, 1, 1, 0, 0, 6, 5, 5, 4, 1, 3, 2, 27, 14, 31, 19, 18, 10, 18, 19, 39, 68, 33, 20, 21, 61, 38, 43, 2, 2, 27, 17, 11, 0, 8, 3, 8, 37, 25, 32, 6, 11, 0, 4, 0, 3, 3, 20, 6, 14, 5, 23, 21, 29, 32, 29, 25, 16, 11, 9, 41, 57, 54, 50, 24, 52, 46, 5, 0, 7, 31, 21, 15, 10, 34, 6, 36, 42, 30, 29, 19, 11, 3, 11, 4, 30, 1, 38, 26, 34, 47, 9, 16, 10, 49, 54, 57, 34, 61, 62, 41, 37, 1, 0, 1, 6, 19, 5, 0, 8, 4, 0, 3, 12, 0, 36, 33, 40, 42, 12, 30, 6, 34, 11, 18, 27, 20, 35, 6, 21, 0, 18, 5, 1, 21, 14, 2, 3, 23, 32, 22, 30, 21, 25, 15, 20, 43, 12, 38, 31, 8, 8, 4, 3, 2, 3, 12, 15, 11, 53, 36, 84, 12, 11, 7, 13, 20, 18, 1, 6, 16, 2, 10, 1, 7, 0, 1, 3, 6, 7, 9, 2, 5, 4, 10, 16, 18, 21, 44, 14, 19, 5, 12, 20, 22, 11, 9, 9, 8, 2, 9, 0, 6, 1, 0, 23, 24, 13, 36, 4, 7, 1, 57, 39, 31, 17, 11, 3, 0, 0, 1, 2, 6, 7, 2, 6, 7, 20, 8, 34, 35, 38, 47, 29, 33, 85, 99, 84, 64, 81, 18, 32, 13, 18, 15, 15, 13, 8, 29, 10, 29, 10, 8, 12, 13, 22, 119, 3, 14, 0, 2, 12, 13, 23, 2, 2, 13, 4, 13, 2, 8, 4, 3, 9, 10, 5, 11, 11, 9, 0, 16, 12, 6, 76, 86, 20, 31, 50, 53, 10, 29, 9, 24, 28, 15, 11, 7, 0, 0, 13, 6, 9, 21, 10, 0, 2, 36, 18, 15, 5, 24, 3, 36, 6, 10, 31, 50, 32, 59, 72, 76, 21, 96, 0, 0, 0, 0, 1, 12, 22, 25, 23, 24, 36, 45, 31, 29, 7, 0, 4, 5, 2, 2, 1, 2, 1, 2, 1, 2, 2, 4, 16, 5, 48, 3, 21, 15, 18, 0, 0, 12, 15, 12, 12, 14, 24, 12, 21, 9, 25, 13, 9, 4, 6, 14, 7, 16, 18, 5, 10, 9, 11, 17, 13, 5, 1, 3, 3, 7, 5, 2, 2, 21, 17, 3, 1, 14, 0, 12, 11, 20, 17, 46, 28, 11, 13, 17, 21, 15, 35, 31, 48, 7, 32, 35, 31, 5, 12, 33, 43, 21, 21, 0, 6, 5, 0, 0, 0, 0, 0, 2, 4, 7, 18, 25, 1, 6, 3, 15, 1, 36, 19, 48, 35, 48, 8, 10, 9, 6, 14, 4, 12, 1, 11, 11, 18, 14, 9, 14, 0, 1, 0, 3, 3, 30, 7, 40, 5, 51, 35]","[78, 68, 44, 62, 64, 72, 98, 52, 48, 72, 60, 40, 99, 60, 82, 40, 50, 84, 52, 40]"
-1,17,1,2,20,"[11, 3, 1, 4, 12, 15, 12, 18, 13, 9, 7, 3, 7, 3, 30, 52, 61, 27, 2, 32, 3, 9, 5, 4, 18, 5, 17, 16, 7, 7, 48, 26, 6, 33, 5, 18, 1, 4, 3, 5, 4, 5, 14, 7, 4, 3, 44, 1, 1, 1, 36, 21, 1, 1, 4, 1, 1, 1, 3, 1, 1, 2, 13, 38, 2, 19, 1, 2, 7, 31, 5, 64, 10, 17, 4, 1, 10, 3, 1, 6, 2, 3, 2, 2, 3, 7, 3, 2, 51, 68, 36, 36, 37, 37, 86, 55, 65, 39, 18, 36, 55, 43, 33, 32, 20, 14, 16, 13, 7, 8, 4, 11, 45, 52, 49, 23, 7, 0, 3, 15, 11, 3, 13, 3, 0, 15, 9, 0, 6, 37, 18, 26, 27, 20, 33, 23, 39, 28, 28, 35, 18, 46, 68, 45, 20, 6, 3, 2, 4, 4, 3, 3, 3, 4, 4, 9, 7, 14, 9, 8, 12, 21, 10, 1, 9, 5, 4, 4, 6, 14, 14, 9, 21, 11, 5, 2, 4, 8, 14, 14, 7, 11, 20, 10, 28, 66, 87, 49, 86, 35, 22, 19, 3, 16, 23, 9, 8, 0, 0, 1, 37, 15, 5, 1, 0, 4, 6, 17, 20, 5, 0, 2, 0, 0, 6, 0, 5, 0, 1, 1, 3, 0, 0, 0, 0, 27, 56, 81, 61, 50, 55, 18, 24, 74, 5, 2, 1, 3, 33, 18, 18, 15, 21, 6, 0, 9, 1, 8, 3, 3, 6, 17, 6, 4, 13, 4, 1, 1, 11, 3, 1, 10, 9, 2, 1, 2, 1, 0, 6, 8, 2, 4, 4, 16, 13, 13, 16, 9, 0, 1, 14, 16, 21, 8, 11, 3, 5, 17, 13, 13, 35, 27, 25, 17, 6, 40, 42, 54, 53, 19, 5, 4, 3, 5, 40, 8, 14, 13, 19, 9, 2, 44, 19, 25, 21, 23, 12, 17, 15, 30, 87, 20, 15, 23, 42, 14, 26, 28, 27, 34, 23, 18, 1, 35, 16, 22, 11, 1, 0, 17, 1, 17, 6, 4, 5, 2, 5, 3, 7, 8, 3, 0, 12, 78, 97, 113, 0, 0, 9, 3, 2, 8, 7, 0, 1, 0, 12, 2, 8, 8, 5, 6, 17, 15, 12, 11, 11, 45, 16, 4, 71, 31, 66, 7, 0, 3, 3, 7, 1, 7, 8, 11, 6, 16, 7, 28, 11, 21, 1, 42, 24, 18, 2, 44, 25, 10, 5, 0, 0, 0, 13, 31, 9, 11, 10, 3, 28, 20, 3, 14, 26, 7, 2, 7, 4, 7, 4, 5, 20, 9, 20, 45, 73, 10, 18, 25, 8, 4, 0, 0, 7, 12, 13, 18, 11, 4, 8, 3, 12, 10, 21, 31, 58, 51, 46, 33, 1, 40, 25, 22, 55, 19, 4, 2, 4, 4, 24, 19, 16, 22, 37, 27, 37, 27, 37, 28, 2, 7, 75, 37, 10, 61, 41, 3, 1, 0, 2, 8, 8, 1, 7, 21, 14, 15, 3, 8, 7, 33, 8, 7, 3, 15, 13, 4, 5, 4, 5, 8, 1, 0, 0, 0, 1, 1, 1, 1, 0, 21, 4, 32, 1, 6, 30, 5, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 71, 36, 45, 18, 11, 13, 9, 7, 2, 103, 103, 15, 20, 1, 9, 6, 11, 15, 10, 6, 9, 16, 14, 11, 1, 7, 18, 18, 5, 1, 3, 4, 2, 1, 2, 3, 8, 10, 6, 5, 3, 12, 3, 19, 21, 29, 38, 21, 13, 60, 22, 47, 34, 4, 6, 7, 17, 4, 47, 44, 57, 19, 19, 25, 60, 0, 4, 0, 0, 0, 5, 1, 1, 7, 15, 7, 8, 8, 16, 4, 4, 38, 10, 19, 6, 41, 19, 21, 22, 36, 16, 20, 0, 0, 1, 0, 3]","[48, 99, 99, 84, 92, 66, 30, 36, 46, 74, 52, 43, 48, 58, 94, 32, 48, 78, 78, 62]"
-1,20,0,0,20,"[26, 30, 2, 1, 9, 2, 2, 2, 3, 4, 6, 2, 6, 2, 3, 33, 65, 66, 51, 42, 94, 1, 64, 30, 93, 82, 0, 2, 36, 15, 4, 19, 18, 7, 2, 13, 17, 45, 30, 33, 5, 38, 12, 42, 39, 24, 4, 23, 19, 32, 12, 12, 9, 11, 9, 0, 11, 8, 9, 4, 12, 4, 7, 1, 44, 17, 26, 2, 13, 5, 1, 4, 2, 3, 5, 8, 2, 33, 13, 39, 28, 48, 56, 22, 88, 48, 28, 4, 12, 6, 10, 33, 10, 1, 3, 8, 3, 1, 0, 2, 33, 2, 45, 28, 36, 35, 37, 43, 43, 28, 38, 44, 42, 57, 1, 0, 0, 78, 53, 56, 21, 0, 16, 33, 41, 17, 13, 22, 15, 42, 42, 0, 46, 31, 7, 32, 13, 6, 0, 10, 32, 25, 35, 45, 35, 40, 42, 55, 8, 9, 31, 15, 27, 23, 12, 5, 5, 8, 8, 9, 5, 26, 21, 18, 18, 8, 4, 12, 3, 16, 21, 5, 26, 63, 0, 19, 46, 21, 31, 34, 34, 3, 40, 10, 23, 21, 40, 25, 32, 15, 19, 4, 17, 20, 30, 21, 24, 15, 23, 15, 15, 23, 25, 19, 25, 25, 30, 32, 5, 10, 33, 15, 12, 12, 10, 1, 7, 4, 7, 4, 15, 3, 37, 31, 10, 1, 7, 4, 10, 10, 10, 13, 10, 1, 3, 4, 5, 7, 25, 13, 11, 6, 6, 2, 26, 49, 26, 10, 12, 7, 23, 19, 32, 12, 4, 12, 3, 15, 7, 14, 10, 15, 10, 19, 11, 27, 13, 31, 8, 11, 7, 12, 12, 10, 29, 12, 9, 8, 14, 10, 3, 3, 16, 29, 37, 20, 38, 8, 5, 24, 8, 45, 2, 1, 4, 12, 29, 25, 28, 46, 10, 36, 93, 80, 42, 62, 59, 1, 1, 8, 33, 12, 1, 30, 2, 34, 12, 2, 6, 17, 18, 35, 22, 23, 18, 45, 9, 29, 24, 25, 2, 32, 32, 48, 32, 55, 49, 80, 43, 28, 33, 17, 1, 1, 4, 1, 2, 6, 2, 27, 11, 33, 17, 12, 4, 17, 41, 43, 25, 59, 80, 43, 50, 40, 17, 3, 2, 9, 12, 22, 15, 62, 51, 9, 12, 6, 3, 20, 4, 23, 2, 7, 3, 11, 4, 9, 29, 34, 26, 2, 3, 5, 3, 2, 2, 7, 12, 26, 13, 28, 23, 18, 26, 24, 16, 14, 57, 7, 21, 5, 17, 7, 14, 6, 6, 8, 14, 7, 21, 13, 23, 35, 1, 11, 11, 11, 52, 22, 12, 22, 18, 19, 14, 45, 14, 31, 2, 1, 3, 11, 7, 2, 8, 1, 22, 20, 13, 28, 29, 37, 46, 52, 55, 54, 44, 119, 21, 9, 7, 15, 87, 2, 2, 29, 6, 7, 4, 4, 7, 4, 25, 4, 2, 3, 4, 2, 4, 2, 3, 4, 2, 1, 1, 87, 50, 81, 23, 63, 100, 106, 57, 55, 31, 47, 44, 32, 20, 21, 20, 28, 20, 23, 27, 28, 10, 18]","[56, 36, 40, 50, 58, 30, 52, 42, 52, 30, 52, 70, 52, 60, 56, 40, 24, 70, 56, 86]"
-1,20,0,0,20,"[42, 0, 23, 24, 33, 48, 43, 36, 42, 22, 32, 3, 4, 2, 4, 1, 35, 24, 18, 8, 1, 35, 20, 17, 20, 7, 8, 1, 11, 16, 1, 6, 53, 41, 17, 42, 25, 33, 9, 53, 49, 33, 45, 9, 39, 17, 41, 32, 34, 1, 19, 1, 8, 57, 30, 31, 16, 31, 15, 14, 43, 43, 5, 63, 10, 46, 19, 34, 16, 56, 46, 22, 31, 38, 31, 28, 6, 36, 27, 37, 22, 41, 29, 29, 36, 22, 21, 5, 21, 23, 39, 25, 45, 47, 3, 9, 44, 39, 6, 19, 4, 12, 4, 6, 4, 6, 8, 7, 22, 39, 3, 22, 38, 37, 35, 4, 20, 0, 31, 48, 19, 71, 17, 6, 42, 3, 31, 15, 38, 17, 45, 46, 0, 30, 17, 18, 14, 1, 39, 0, 2, 1, 29, 28, 19, 18, 35, 10, 15, 45, 34, 31, 13, 17, 50, 31, 4, 5, 46, 56, 53, 39, 31, 27, 14, 16, 48, 7, 2, 30, 57, 0, 9, 9, 2, 37, 23, 16, 20, 28, 3, 8, 19, 25, 41, 60, 56, 53, 29, 35, 40, 32, 26, 0, 2, 3, 14, 36, 31, 15, 1, 1, 18, 29, 42, 1, 2, 60, 38, 29, 60, 26, 27, 3, 47, 4, 2, 55, 1, 15, 12, 15, 2, 1, 17, 15, 6, 12, 26, 39, 22]","[28, 12, 20, 26, 20, 24, 32, 28, 34, 24, 16, 12, 22, 24, 24, 28, 20, 14, 26, 28]"
-1,20,0,0,20,"[48, 20, 4, 46, 40, 45, 48, 1, 0, 57, 45, 0, 59, 40, 38, 42, 26, 40, 12, 20, 10, 0, 59, 37, 38, 27, 5, 15, 20, 19, 11, 40, 24, 10, 20, 29, 31, 34, 39, 54, 37, 31, 3, 18, 40, 47, 52, 0, 33, 0, 45, 2, 56, 6, 61, 46, 38, 29, 43, 25, 41, 30, 9, 61, 1, 17, 56, 50, 23, 42, 37, 53, 41, 51, 45, 40, 36, 20, 47, 26, 50, 52, 21, 23, 59, 3, 20, 41, 33, 37, 23, 2, 9, 1, 51, 0, 7, 30, 29, 4, 6, 59, 43, 27, 1, 34, 0, 3, 51, 62, 61, 2, 5, 51, 36, 41, 19, 2, 18, 39, 18, 2, 14, 52, 30, 9, 36, 34, 38, 43, 42, 69, 62, 71, 52, 43, 0, 30, 18, 21, 8, 34, 42, 22, 47, 0, 1, 39, 5, 45, 36, 44, 21, 40, 21, 27, 1, 35, 48, 0, 15, 59, 53, 4, 40, 49, 55, 53, 63, 7, 10, 38, 68, 18, 63, 48, 48, 0, 5, 22, 37, 2, 36, 23, 11, 59, 57, 1, 4, 14, 10, 8, 52, 30, 42, 16, 1, 7, 6, 1, 48, 16, 43, 51, 43, 52, 2, 59, 59, 40, 11, 6]","[24, 20, 18, 26, 20, 24, 36, 20, 14, 24, 20, 30, 16, 20, 16, 24, 18, 14, 16, 24]"
-1,20,0,0,20,"[2, 50, 15, 9, 59, 11, 48, 40, 0, 13, 43, 24, 14, 53, 44, 57, 11, 13, 4, 5, 37, 25, 20, 39, 3, 56, 0, 47, 22, 40, 45, 1, 43, 2, 50, 54, 11, 45, 66, 66, 47, 35, 6, 20, 1, 25, 1, 50, 44, 4, 61, 27, 5, 25, 26, 41, 37, 35, 18, 48, 64, 46, 55, 33, 25, 23, 53, 37, 35, 2, 46, 10, 15, 53, 14, 43, 37, 44, 46, 5, 55, 48, 7, 25, 49, 26, 18, 42, 19, 18, 56, 1, 49, 52, 33, 16, 1, 5, 33, 55, 39, 52, 36, 62, 20, 43, 4, 54, 14, 16, 45, 52, 15, 19, 30, 31, 54, 58, 11, 53, 35, 21, 37, 40, 54, 50, 55, 15, 5, 2, 3, 24, 50, 3, 49, 38, 53, 35, 10, 38, 59, 57, 54, 60, 60, 52, 59, 4, 4, 58, 65, 3, 2, 47, 44, 46, 18, 50, 17, 7, 16, 53, 18, 54, 47, 14, 11, 42, 45, 10, 51, 14, 25, 54, 30, 27, 33, 14, 35]","[14, 12, 16, 16, 16, 16, 16, 22, 18, 20, 14, 18, 22, 18, 20, 10, 36, 18, 22, 14]"
-1,20,0,0,20,"[50, 16, 1, 48, 18, 40, 37, 40, 59, 5, 7, 46, 17, 24, 12, 50, 48, 20, 51, 51, 54, 48, 27, 26, 1, 51, 57, 54, 12, 52, 20, 61, 56, 63, 56, 13, 54, 0, 36, 1, 47, 47, 47, 1, 47, 47, 0, 14, 35, 53, 47, 33, 30, 25, 48, 28, 2, 48, 47, 6, 0, 59, 21, 56, 50, 0, 3, 31, 53, 40, 43, 45, 57, 59, 48, 15, 17, 23, 31, 55, 48, 12, 24, 35, 27, 47, 62, 15, 5, 56, 27, 5, 23, 63, 56, 51, 52, 8, 1, 11, 6, 51, 23, 46, 8, 49, 55, 42, 44, 21, 31, 29, 49, 46, 12, 17, 16, 50, 2, 29, 27, 15, 52, 1, 33, 7, 57, 65, 51, 8, 8, 20, 4, 16, 3, 50, 55, 12, 5, 51, 61, 13, 61, 6, 57, 9, 28, 47, 61, 50, 58, 51, 1, 11, 50, 23, 57, 6, 58, 27, 56, 56, 59, 59, 3, 56, 55, 57, 5, 80, 60, 7, 27, 45, 52, 7, 46, 49, 54, 34, 67, 54, 9, 63, 63, 33, 21, 53, 16, 31, 44, 21, 49, 28, 14, 20, 54, 44, 3, 15, 28]","[22, 24, 26, 22, 14, 18, 28, 14, 16, 18, 22, 16, 12, 16, 20, 24, 32, 28, 16, 14]"
-1,20,0,0,20,"[26, 48, 4, 30, 20, 50, 36, 51, 27, 6, 47, 56, 51, 32, 32, 53, 6, 53, 6, 1, 40, 14, 45, 46, 45, 44, 9, 20, 0, 0, 35, 46, 23, 20, 50, 13, 4, 13, 51, 51, 6, 20, 14, 14, 0, 18, 26, 57, 56, 51, 54, 46, 3, 71, 45, 54, 29, 74, 18, 16, 22, 42, 49, 55, 26, 45, 38, 43, 22, 29, 41, 40, 42, 42, 10, 1, 16, 55, 34, 44, 23, 6, 47, 13, 49, 8, 49, 48, 0, 51, 50, 12, 2, 57, 50, 13, 47, 0, 9, 9, 3, 47, 14, 13, 51, 10, 21, 38, 31, 57, 5, 12, 44, 47, 52, 46, 11, 47, 18, 48, 47, 22, 50, 16, 46, 45, 9, 49, 2, 14, 31, 1, 6, 7, 43, 40, 23, 52, 21, 3, 15, 42, 46, 43, 47, 44, 46, 6, 48, 4, 41, 7, 59, 46, 48, 43, 44, 13, 37, 7, 3, 16, 16, 12, 50, 45, 45, 42, 59, 58, 16, 56, 52, 18, 21, 5, 49, 34, 43, 0, 15, 29, 48, 42, 18, 46, 19, 2, 1]","[10, 20, 24, 12, 16, 10, 28, 30, 14, 22, 16, 16, 26, 18, 16, 26, 20, 24, 16, 14]"
